a,Unnamed: 0,company_name,email,home_page,phone_number,street_address,url
1332,79,SHEGA-TRANS SHIPPING SA,info@shega-trans.com,www.shega-trans.com,+355 425 5008,"Tefta Tashko Str. No.10,  Tiranes, 00355, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1333,80,TRANSALBANIA LTD,info.tirana@kuehne-nagel.com,,+355 4 229727,"Rruga Deshmoret E 4 Shkurtit No 6, Tiranes, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1334,81,A.M.L LTD,,,+355 4 451 1243,"Rruga Gjergj Kasrtioti 9401,  Albania, 9400, Albania      ",http://www.cargoyellowpages.com/en/albania/vlore/page_01.html
1335,82,SARL INTERNATIONAL POWER LOGISTICS (IPOL),management@ipolcompany.com,www.ipolcompany.com,+213 21 56 59 25,"79 Rue Marcello Fabri, Coperative Jugurtha 07, Les Sources, Bir Mourad Rais 16015, Algeris, Alg...      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1336,83,CEVA LOGISTICS ALGERIE SARL,olivier.durand@cevalogistics.com,www.cevalogistics.com,+213 (7)21 64 31 36,"7 Boulevard du Colonel, Hamirouche, 16000 Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1337,84,BONGIORNO ALGERIE SARL,bongiorno@bongiornosrl.com,www.bongiornosrl.com,+213 (7)21 300684,"Villa No 32, Lot D, 16000 El Achour, Alger, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1338,85,TIBA INTERNATIONAL,algiers@tibagroup.com,www.tibagroup.com,+213 (7)21 43 65 71,"C.C. Zem Zem, 4eme et., 12 Route de Sidi Yahia, 16000  Algeria, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1339,86,ASIAFRIQUE LOGISTICS,,www.asiafriquelogistics.com,+213 (7)6 61 28 82 94,"Rue de Fevrier, Omnius, Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1340,87,WEBSITE LINK GLOBAL LOGISTIC PARTNER SARL,,www.globallogisticpartner.com,+213 (7)21 21 97 10,"88 rue Harkat Djamel, Pins Maritimes, 16029 Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1341,88,MIDEX,mdxalg@midexintl.com,www.midexairlines.com,+213 (7)21 63 13 04,"61-E Bd Mohamed V, Ferhat-Bousaad, 16005 Alger, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1342,89,ARCON LOGISTICS SARL,arcon.logistic@yahoo.com,,+213 (7)5466 0860,"Zone Activate Zeralda N 71, 16000 Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1343,90,ACA FREIGHT SARL,aca.freight@yahoo.com,,+213 (7)21 13 67 06,"56 Dar Diaf Cheraga, 16027 Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1344,91,GLOBAL LOGISTICS PARTNER SARL,,www.globallogisticpartner.com,+213 (7)21 21 97 10,"88 Rue Harkat Djamel, Pins Maritimes, Mohamadia, 16029 Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1345,92,FLASH TRANSIT SARL,flash@transitalgeria.com,www.transitalgeria.com,+213 (7)21 63 83 83,"9 Rue Charras Alger, 16000 Alger, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1346,93,FMI-ALGERIE,d.subra@fmigroupe.fr,www.fmigroupe.com,+213 (7)21 446400,"Coop ANNASR, No 60 Les Vergers, Kouba, Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1347,94,EXPRESS HANDLING SERVICES,operations1@ehs.fr,www.ehs.fr,+33 1 70 03 84 07,"Route de Bordj El Bahri Hai Souachette, Rouiba Alger, Alger, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1348,95,"MARMEDSA BEMARINE, S.A.R.L.",jlorente@marmedsabemarine.com,www.marmedsabemarine.com,+213 (0)2156 2170,"115 Lotissement La Cadat, Les Sources B.M.R., 2020, Algiers/Alger, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1349,96,MARITIME SERVICES ALGERIA,,www.msalg.com,21321210458,"Lot N51 Pins Maritime Mohammedia Algiers City, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1350,97,TRANSIT KAMAR LOUAR,tkl1988@gmail.com,,+213 (7)21 73 73 78,"Zone Fret, Aeroport Houari Boumediene, 1600 Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers-airport/page_01.html
1351,98,ALSHIPLINK,ops@alshiplink-dz.com,www.alshiplink-dz.com,+213 38 16 48,"07, Rue Mezigueche Med Laid, Annaba, Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/annaba/page_01.html
1352,99,GENERAL SHIP SUPPLY & LOGISTICS,a.harfi@gssalgeria.com,www.gssalgeria.com,661801110,"Promotion Immobiliere EPBTP Bloc C N 115, Bejaia, 06000 Algeria      ",http://www.cargoyellowpages.com/en/algeria/bejaia/page_01.html
1353,100,SEASCOPE LOGISTICS & TRANSPORT,genmbox@seascopelt.com,www.seascopelt.com,+213 34 22 7798,"Cite 107 Lgts Bt ""5"" No. 4 Naceria 06000 Bejaia, Algeria      ",http://www.cargoyellowpages.com/en/algeria/bejaia/page_01.html
1354,101,SDV ALGERIE,alg@sdv.com,www.sdv.com,+213 (7)21 81 90 05,"Route Nationale n??149, Lieu dit Hai Ben Amar, Commune Hamadi, Boumerdes, Algeria      ",http://www.cargoyellowpages.com/en/algeria/boumerdes/page_01.html
1355,102,CEVA LOGISTICS ALGERIE SARL,ovamara.nazim@cevalogistics.com,www.cevalogistics.com,+213 (7)29 73 60 93,", Algeria      ",http://www.cargoyellowpages.com/en/algeria/hassi-messaoud/page_01.html
1356,103,PANALPINA ALGERIE,info.northafrica@panalpina.com,www.panalpina.com,+213 (7)21 23 00 11,"05, rue Laroussi Amroune, chemin des Glycines, Poirson - el Biar, 16030  Alg??r, Algeria      ",http://www.cargoyellowpages.com/en/algeria/hassi-messaoud/page_01.html
1357,104,FMI-ALGERIE,nhennous@fmialgerie.dz,www.fmigroupe.com,+213 (7)21 446400,"El Mansoura, Cite El Emir, Rue Larbi Ben M??hidi, No 106,  Algeria, Algeria      ",http://www.cargoyellowpages.com/en/algeria/oran/page_01.html
1358,0,AFGHAN SHIPPING & LOGISTICS (ASL),operation@afghanshipping-logistics.com,,+93 (0)78 637 3732,"Hairatan Port 3, Hairatan, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/hairatan/page_01.html
1359,1,PARSIMPEX AFGHANISTAN,opafg@parsimpex.com,www.parsimpex.com,+93(0)793649999,"Falakah Movlanay JamiI, Jami Trade Center, Herat, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
1360,2,PEYMAN TRANSIT INT??L FORWARDING COMPANY,sn.nadem@hotmail.com,www.peyman.com.af,+93 (0)40 228282,"Muhammadi Building 3th Floor Unit 15,  009340, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/herat/page_01.html
1361,3,PAKGRO,,,+93 (0)79 406482,"Al-Haj Main Aslam Plaza A, Dharamshal 4th Floor, Room no 149, Nangarhar, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/jalalabad/page_01.html
1362,4,ALJUBAIR INTERNATIONAL TRANSPORTATION COMPANY (AIT...,info@aitc-co.com,www.aitc-co.com,+93 (0)796 82 9412,"Wazir Akbar Khan, 14th Street,      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1363,5,AS LOGISTICS,ajmal@asl.af,www.asl.af,9.71563E+11,"House # 34, Street # 13, Wazir Akbar Khan, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1364,6,SZ GROUP OF COMPANIES,info@szgroup-af.com,www.szgroup-af.com,93790000081,"House No: 264, Lane No 1, Saleem Karwan Town, Dis 16, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1365,7,AFGHAN EMPIRE INTERNATIONAL LOGISTICS & SERVICES (...,afghanempire1@gmail.com,www.afghanempireinternational.com,+93-799 127 321,"Parwan 2nd, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1366,8,MULTITRANS,mubashir.muzafari@multitranslog.com,www.multitranslog.com,93799644904,"207B Shahr e Naw, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1367,9,AAZAN CORPORATION,arifkamalsyed@gmail.com,www.aazancorporation.com,92915250742,"TF-172, 3rd floor, Deans Trade Center Islamia Road Peshawar Cantt, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1368,10,ISM INTERNATIONAL TRANSPORT AND LOGISTIC LTD.,mohammadismail982@gmail.com,,93202554522,"Shirpoor Main Road, Jam Super Market, 2nd floor, District 10, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1369,11,PAXTON KABUL LOGISTICS COMPANY,kabul@paxton.com,www.paxton.com/locations/kabul,+93 (0)70 0295 329,"House # 8 left side Afghan Street, Shash Darak, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1370,12,GLOCAL,glocal@glocal.com.af,www.glocal.com.af,+ 93 (0) 799 330 325,"4th Street Taimani Project No. 786 Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1371,13,SONIC JET AFGHANISTAN,kabul@sonicjet.aero,www.sonicjet.aero,+93 (0)793 433889,"Kabul International Airport, New Terminal, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1372,14,AFEX LOGISTIC SOLUTIONS,andrew@afexsolutions.com,www.afexsolutions.com,+93 (0)79 490 7756,"House #731, Between Street 8 & 9, Main Road, Mouyi Mubarak, Taimani Watt, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1373,15,ACTCO AFGHANISTAN LOGISTICS,gaurav@afghancontainers.com,www.afghancontainers.com,+93 (0)700 214666,"House No 43 Street 2 Left West Charahi, Haji Yakub Sher e Now,  2683, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1374,16,AFGHAN CONTAINER TRANSPORT COMPANY,gaurav@afghancontainers.com,www.afghancontainers.com,+93 (0)70 214666,"House No 43, Street No 2, Left West of Charahi Haji Yaqub, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1375,17,AFGHAN INTERNATIONAL CARGO,,www.afghanshipping.com,,"Shahsamand Plaza, First Part Jade Mawand, Infront of Mawand Hospital, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1376,18,BLUE SEA LOGISTICS INTERNATIONAL,alamzeb@bluesea-group.com,www.bluesea-group.com,+93 (0)799 757895,"Street # 3rd, House # 5th, Qalai Fathullah, Shahr-e-Naw,  25000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1377,19,AFGHAN SHIPPING & LOGISTICS (ASL),ceo@afghanshipping-logistics.com,www.afghanshipping-logistics.com,+93 (0)799 119105,"Sarak-e-Naw, Bagram, Jalalabad Main Road, Kabul Industrial Zone, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1378,20,ALLIED XPERT LOGISTICS,kabul@alliedxl.com,www.alliedxl.com,+93 (0)786 441 943,"Suite 511, Main Shash Darak Road, Opp Sitarra School,  74000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1379,21,AU-LOGISTICS,info@aulogistics.com,www.aulogistics.com,+93 (0)78 720 3010,"Suite #1 St #2, Dani-E-Bagh Square, Baharistan Area Behind Punjsher Biz Ctr,  62000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1380,22,AUSTIN SHIPPING AGENCY LLC,info@austingroup-me.com,www.austingroup-me.com,,"Ashraf Wat Road, Bet CharraiHaji Yaqoob & Charral Ansari, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1381,23,DIAMOND CROWN LOGISTIC SOLUTIONS,dcls.kbl@gmail.com,www.dcls.biz,+93 (0)700 013830,"Kolola Pushta District 4,  25000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1382,24,IFLS,ops@iflspakistan.com,www.iflspakistan.com,+93 (0)21 252 6766,"Qulala Pushta Road, Behind Embassy of Holland, Street 01, House No 03, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1383,25,EMT LOGISTICS,admin@emtlogistics.aero,www.emtlogistics.aero,+93 (0)798 384050,"Parwan 3, Sarai Angoor, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1384,26,C2 LOGISTICS (AFGHANISTAN),,www.c2logistics.com,+93 (0)613 523 1816,"House 18 Street 2, Shash Drak, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1385,27,EURASIA INTERNATIONAL CONTAINER LOGISTICS SERVICE ...,kemal.karaoglu@intercombi.com,www.eurasia-icl.com,+93 (0)752 071538,"Klola Pushta Zadran, Building No 117, Gul-e-Surkh Square, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1386,28,EXPOLANKA FREIGHT FZ CO,geoffry@expoafghanistan.com,www.expolankafreight.com,,"PAE compound, Jalalabad Road, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1387,29,FIRST GLOBAL LOGISTICS SERVICES CO LTD,firstglobal.logistics.ltd@gmail.com,www.fglkabul.com,+93 (0)79 445 4513,"1st Floor Kabul Business Center, Haji Yaqub Square,  24000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1388,30,FREIGHT LINKERS,info@freightlinkers.com,,+93 (0)778 590 733,"Shehr-e-Nou, 4th District, 1st Zone, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1389,31,GIFCO - GHORAYEB INTERNATIONAL FREIGHT FORWARDING ...,kabul@gifco.com,www.ghorayebshipping.com,+961 145 0550,"Kabul Haji Yaqoob Square, Kabul Business Center, 3rd floor office #307, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1390,32,GLOBAL LOGISTIX SYNDICATE LTD,int@bizdev@glxs.pk,www.glxs.pk,+93 (0)78 604 3200,"12 Hesai Deowam, Kart-e-Parwan, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1391,33,GLOBALINK LOGISTICS GROUP,kabul@globalinkllc.com,www.globalinkllc.com,+93 (0)20 220 1560,"Street 10, House 267, Taimani Watt, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_01.html
1392,34,HEB INTERNATIONAL LOGISTICS,info@hebgroup.com,www.hebgroup.com,+93 (0)79 964 4904,"House #207-B, Gul Faroshi Street, Shahrah-e-Now, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1393,35,KARWAN LOGISTICS PVT LTD,,www.karwan-logistics.com,+93 (0)77 719 0910,"Sarak-e-now Industrial Area, Jalalabad Main Road,  25000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1394,36,MEBS INTERNATIONAL,afghanistan@mebs-intl.com,www.mebs-intl.com,+93 (0)752 090 192,"Blok 7, Industrial Park, Pull Charkhi, District 9 Police Road, (Off Jalalabad Road), Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1395,37,NEW HAROON TRADERS,kabulcargo@gmail.com,,,"Opp Khushal Khan Mena, Amin Street,  44000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1396,38,SKYLINK AFGHANISTAN,,www.skylinkaviation.com,+93 (0)798 267 268,"2nd Street of 9th District Police Dept, Jalalabad Road, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1397,39,MOVE ONE LOGISTICS/MOVE ONE RELOCATIONS,zsolt.ormai@moveoneinc.com,www.moveoneinc.com,+93 (0)799 310 903,"Qala-e-Fatullah, Street 6, House #396, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1398,40,OLOGH BEG INTERNATIONAL FORWARDERS CO LTD,khursheed@ologhbeg.com,www.ologhbeg.com,+93 (0)77 919 8008,"Haji Yaqoob Square, Opp AFC Continental, Sher-e-Now,  93000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1399,41,PAK DYNAMIC LOGISTICS INTERNATIONAL PVT LTD,dlikabul@gmail.com,www.dliltd.com,+93 (0)20 220 4881,"Ansari Square, Sher-e-Now, Near Kabul City Centre, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1400,42,ABC BEST INTERNATIONAL FREIGHT MANAGEMENT,kabul@abcbestfreight.com,www.abcbestfreight.diytrade.com,+92 301 220 4171,"Office #203, 2nd Floor, Kabul Business Centre, Haji Yaqoub Roundabout, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1401,43,PAK-AFGHAN OVERLAND TRANSPORT CO,pakafghan@gmail.com,,+93 (0)70 836 177,"Block-B, 2nd Floor, Office No.4, Shairifi Plaza, Char Rahi, Ansari, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1402,44,PAKGRO,,www.pakgro.com,,"Office No 401, 4th Floor, Kabul Business Centre, Haji Yaqoob Roundabout, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1403,45,ROHANI LOGISTICS PVT LTD,rohani.logistics@gmail.com,www.rohani-logistics.com,+93 (0)70 616 0395,"Sarkh-e-Now Jalalabad Main Road, Parkh-e-Sanati, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1404,46,SEA LINK LOGISTICS INTERNATIONAL,info@sealink.com.af,www.sealink.com.af,+93 (0)799 328092,"House #2, Street #2, Near Blossom Health Care Center, Hanzala Mosque Rd, Shahr-e-Naw,  25000, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1405,47,SKA AFGHANISTAN,,,,"KIAI Road Gate 2, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1406,48,TRANSBANKAS AFGHANISTAN LTD,info@transbankas.lt,www.transbankas.com,+93 (0)799 119105,"House #32, Road #15, Street #13, Opposite British Embassy, Beside Omid Public High School, Wazir Akbar Khan, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1407,49,XE SERVICES LLC,blackwaterkabul.logistics@gmail.com,www.xecompany.com,+93 (0)79 7971 3403,"Shash Darak, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1408,50,"AARAS SHIPPING & LOGISTICS AFGHANISTAN.,",kabul@aarasshipping.com,www.aarasshipping.com,+93 777 150076,"Sharifi Plaza, Office No.4, 2 nd Floor,Block-B, Char Rahi Ansari, Kabul, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1409,51,ALLIED EXPRESS LOGISTICS COMPANY.,ceo@allied-xlogistics.com,www.allied-xlogistics.com,+93-7 9907 9112,"House #292, District-4,Lane1,Share-e-Now, Opposite International restaurant club., Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kabul/page_02.html
1410,52,ALLIED XPERT LOGISTICS,kabul@alliedxl.com,,+93 (0)786 441 943,"Kandhar, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kandahar/page_01.html
1411,53,AFGHAN SHIPPING & LOGISTICS (ASL),info@afghanshipping-logistics.com,,+93 (0)77 710 1234,"Dorraye, Airport Road, Opp Kandahar Custom House, Kandahar, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/kandahar/page_01.html
1412,54,ARIA NOOR LOGISTIC SERVICES COMPANY,fayez.sadat@anl.af,www.anl.af,93790384887,"Baihaqi Street, Ghazanfar Business center, 6th floor, Off. # 606, Mazar-e-Sharif, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/mazar_e_sharif/page_01.html
1413,55,AFGHAN SHIPPING & LOGISTICS (ASL),agencydept@airseaworldwide.net,www.airseaworldwide.net,+93 (0)78 637 3732,"Zadran Market, Office No 3 & 4, Sharana, Afghanistan      ",http://www.cargoyellowpages.com/en/afghanistan/sharana/page_01.html
1414,56,BKR & INTICO,,,+355 52 236241,"Lagja 11, Durresi, Tirana, Tiranes, Albania      ",http://www.cargoyellowpages.com/en/albania/duressi/page_01.html
1415,57,DUBAI SHIPMENT FREIGHT FORWARDING,dubaishipment@gmail.com,,3.55695E+11,"Durres, Lagja 11, Duressi, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1416,58,PELIKAN COMPANY,info@pelikantransport.com,www.pelikantransport.com,+ 355 52 224017,"Fly Tower (13th floor), Durresi, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1417,59,DIAMANT INTERNATIONALL TRANSPORT & FORWARDING,info@diamant.com.al,www.diamant.com.al,+355 (0)52 221421,"Highway Durres, Tirana km 5, Xhavzotaj, Durres, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1418,60,DYRRAHSPED SH P K,agency@dyrrahsped.com,www.dyrrahsped.com,+355 (0)5 221633,"Lagja 4, Rruga 'Migjeni',  AL-2001, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1419,61,PELIKAN SH.P.K,info@pelikantransport.com,www.pelikantransport.com,+355 (0)52 225510,"12th Floor Pallati Aleksi, Rruga Skenderbej, City of Durres, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1420,62,CARGO & BROKER SERVICES,eli969@hotmail.com,,+355 (0)52 236241,"Lagja 11, Rr S Xhemazi 37, Durr??s, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1421,63,INTERNATIONAL TRANS 06,info@internationaltrans06.com,www.internationaltrans06.com,+355 (0)52 236237,"Lagjia 3, Rruga Hamdi Troplini, Pallati Teuta Konstruksion, Durres, AL-2000, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1422,64,LINEAR SHPK,bkr.durres@gmail.com,,+355 (0)52 236 241,"Lagja 11, Rr S Xhemali 37, Durresi, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1423,65,ARBANON.COM,info@arbanon.com,www.arbanon.com,+355 67 223 4776,"L.4 , RR.Iljaz Reka, Durres Port, Tirane, Durres, Albania, 2000, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1424,66,DEDJA SHIPPING,info@dedjashipping.com,www.dedjashipping.com,+355 5222 3230,"Rr. vb Taulantia ,Lagja 1, Durresi Durres, Albania, 2000, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1425,67,GLOBAL SHIPPING SHPK,info@globalshipping.al,www.globalshipping.al,+355 69 203 2638,"Lagja 3, Rruga Egnatia, Pll 2E, ap 4, ,  Albania, 2000, Albania      ",http://www.cargoyellowpages.com/en/albania/durresi/page_01.html
1426,68,P. PLASA SH. P.K.,piroplasa@yahoo.com,,3.55672E+11,"Zona Industriale (Industrial Zone), Korka City, Albania      ",http://www.cargoyellowpages.com/en/albania/korca/page_01.html
1427,69,MCM CARGO,armend@mcmcargo.net,www.mcmcargo.net,+377 (0)44 466 266,"Pristina Int. Airport, Cargo Terminal, Pristina, Kosovo, Albania      ",http://www.cargoyellowpages.com/en/albania/pristine/page_01.html
1428,70,TNT EXPRESS ALBANIA,vilson.duka@tnt.com,www.tnt.com,00355 692061175,"Street Mine Peza No 2, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1429,71,VUKAJ TRANS SHPK,info@vukaj-trans.com,www.vukaj-trans.com,+355 68 90 98 021,"Next to Tirana Custom, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1430,72,ALBANIAN CARGO LOGISTICS,besi@acl.al,www.acl.al/,+355 (0) 695233164,"Tirana International Airport, Cargo Administration Building, Tirana - Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1431,73,CAUSHI TRANS SHPK,caushitrans@hotmail.com,www.caushi-trans.com,3552408164,"Autostrada Tirane-Durres km.12, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1432,74,SKY NET LOGISTIC,erjon.ndreu@skynet.al,www.skynet-al.com,35548320167,"Rruga Theodor Keko, Tirana , Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1433,75,DHL INTERNATIONAL LTD,,www.dhl.com,+355 (0)4 227 667,"Rr Donika Kastrioti 11, EGT Tower, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1434,76,INTERLINER AGENCIES DOO,tirana@interliner-agencies.com,www.interliner-agencies.com,+389 2240 1930,"Prane Doganes, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1435,77,MOVE ONE LOGISTICS/MOVE ONE RELOCATIONS,glenda.pajo@moveoneinc.com,www.moveoneinc.com,+355 (0)4 225 8103,"Rr Brigada e VIII, P Teknoprojekt Sh 2, Ap 3/2, No 33/1, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1436,78,SBA ALBANIA SH.P.K,info@sba-group.net,www.sba-albania.com,+355 (0)42 251850,"Myslym Shyri, Street P 130/1, SH 2, Apt 1, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1437,79,SHEGA-TRANS SHIPPING SA,info@shega-trans.com,www.shega-trans.com,+355 425 5008,"Tefta Tashko Str. No.10,  Tiranes, 00355, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1438,80,TRANSALBANIA LTD,info.tirana@kuehne-nagel.com,,+355 4 229727,"Rruga Deshmoret E 4 Shkurtit No 6, Tiranes, Tirana, Albania      ",http://www.cargoyellowpages.com/en/albania/tirana/page_01.html
1439,81,A.M.L LTD,,,+355 4 451 1243,"Rruga Gjergj Kasrtioti 9401,  Albania, 9400, Albania      ",http://www.cargoyellowpages.com/en/albania/vlore/page_01.html
1440,82,SARL INTERNATIONAL POWER LOGISTICS (IPOL),management@ipolcompany.com,www.ipolcompany.com,+213 21 56 59 25,"79 Rue Marcello Fabri, Coperative Jugurtha 07, Les Sources, Bir Mourad Rais 16015, Algeris, Alg...      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1441,83,CEVA LOGISTICS ALGERIE SARL,olivier.durand@cevalogistics.com,www.cevalogistics.com,+213 (7)21 64 31 36,"7 Boulevard du Colonel, Hamirouche, 16000 Algiers, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
1442,84,BONGIORNO ALGERIE SARL,bongiorno@bongiornosrl.com,www.bongiornosrl.com,+213 (7)21 300684,"Villa No 32, Lot D, 16000 El Achour, Alger, Algeria      ",http://www.cargoyellowpages.com/en/algeria/algiers/page_01.html
